Arquivo;Classe Real;Classe Prevista;Probabilidade Fake (%);Confiança (%);Resultado
3576.txt;Fake;Fake;85.33;85.33;Acerto
3577.txt;Fake;Fake;93.0;93.0;Acerto
3578.txt;Fake;Fake;94.67;94.67;Acerto
3579.txt;Fake;Fake;96.0;96.0;Acerto
3580.txt;Fake;Fake;84.0;84.0;Acerto
3581.txt;Fake;Fake;100.0;100.0;Acerto
3582.txt;Fake;Fake;72.0;72.0;Acerto
3583.txt;Fake;Fake;65.0;65.0;Acerto
3584.txt;Fake;Fake;97.33;97.33;Acerto
3585.txt;Fake;Fake;85.33;85.33;Acerto
3586.txt;Fake;Fake;75.67;75.67;Acerto
3587.txt;Fake;Fake;68.0;68.0;Acerto
3588.txt;Fake;Fake;74.0;74.0;Acerto
3589.txt;Fake;Fake;73.0;73.0;Acerto
3590.txt;Fake;Fake;86.67;86.67;Acerto
3591.txt;Fake;Fake;89.33;89.33;Acerto
3592.txt;Fake;Fake;87.0;87.0;Acerto
3593.txt;Fake;Fake;81.33;81.33;Acerto
3594.txt;Fake;Fake;77.0;77.0;Acerto
3595.txt;Fake;Verdadeira;15.67;84.33;Erro
3596.txt;Fake;Fake;78.0;78.0;Acerto
3597.txt;Fake;Verdadeira;45.33;54.67;Erro
3598.txt;Fake;Fake;84.67;84.67;Acerto
3599.txt;Fake;Fake;80.67;80.67;Acerto
3600.txt;Fake;Fake;97.0;97.0;Acerto
3601.txt;Fake;Fake;90.0;90.0;Acerto
3602.txt;Fake;Fake;62.33;62.33;Acerto
3061.txt;Verdadeira;Verdadeira;6.0;94.0;Acerto
3062.txt;Verdadeira;Verdadeira;14.33;85.67;Acerto
3063.txt;Verdadeira;Verdadeira;5.0;95.0;Acerto
3064.txt;Verdadeira;Verdadeira;9.67;90.33;Acerto
3065.txt;Verdadeira;Verdadeira;30.0;70.0;Acerto
3066.txt;Verdadeira;Verdadeira;1.67;98.33;Acerto
3067.txt;Verdadeira;Verdadeira;40.67;59.33;Acerto
3068.txt;Verdadeira;Verdadeira;6.67;93.33;Acerto
3069.txt;Verdadeira;Verdadeira;2.33;97.67;Acerto
3070.txt;Verdadeira;Verdadeira;11.0;89.0;Acerto
3071.txt;Verdadeira;Fake;56.67;56.67;Erro
3072.txt;Verdadeira;Verdadeira;3.0;97.0;Acerto
3073.txt;Verdadeira;Verdadeira;46.0;54.0;Acerto
3074.txt;Verdadeira;Verdadeira;13.0;87.0;Acerto
3075.txt;Verdadeira;Verdadeira;42.33;57.67;Acerto
3076.txt;Verdadeira;Verdadeira;22.67;77.33;Acerto
3077.txt;Verdadeira;Verdadeira;18.33;81.67;Acerto
3078.txt;Verdadeira;Verdadeira;11.33;88.67;Acerto
3079.txt;Verdadeira;Verdadeira;12.67;87.33;Acerto
3080.txt;Verdadeira;Verdadeira;3.67;96.33;Acerto
3081.txt;Verdadeira;Verdadeira;19.67;80.33;Acerto
3082.txt;Verdadeira;Verdadeira;31.0;69.0;Acerto
3083.txt;Verdadeira;Verdadeira;48.0;52.0;Acerto
3084.txt;Verdadeira;Verdadeira;10.0;90.0;Acerto
3085.txt;Verdadeira;Verdadeira;7.67;92.33;Acerto
3086.txt;Verdadeira;Verdadeira;20.67;79.33;Acerto
3087.txt;Verdadeira;Verdadeira;21.33;78.67;Acerto
3088.txt;Verdadeira;Verdadeira;9.0;91.0;Acerto
3089.txt;Verdadeira;Verdadeira;7.0;93.0;Acerto
3090.txt;Verdadeira;Verdadeira;13.33;86.67;Acerto
3091.txt;Verdadeira;Verdadeira;18.67;81.33;Acerto
3092.txt;Verdadeira;Verdadeira;10.33;89.67;Acerto
3093.txt;Verdadeira;Verdadeira;15.33;84.67;Acerto
3094.txt;Verdadeira;Verdadeira;8.0;92.0;Acerto
3095.txt;Verdadeira;Verdadeira;20.0;80.0;Acerto
3096.txt;Verdadeira;Verdadeira;17.67;82.33;Acerto
3097.txt;Verdadeira;Verdadeira;5.67;94.33;Acerto
3098.txt;Verdadeira;Verdadeira;13.33;86.67;Acerto
3099.txt;Verdadeira;Verdadeira;36.67;63.33;Acerto
3100.txt;Verdadeira;Verdadeira;3.33;96.67;Acerto
3101.txt;Verdadeira;Verdadeira;44.33;55.67;Acerto
3102.txt;Verdadeira;Fake;67.33;67.33;Erro
3103.txt;Verdadeira;Verdadeira;9.67;90.33;Acerto
3104.txt;Verdadeira;Verdadeira;13.0;87.0;Acerto
3105.txt;Verdadeira;Verdadeira;23.67;76.33;Acerto
3106.txt;Verdadeira;Verdadeira;34.67;65.33;Acerto
3107.txt;Verdadeira;Verdadeira;1.67;98.33;Acerto
3108.txt;Verdadeira;Verdadeira;16.67;83.33;Acerto
3109.txt;Verdadeira;Verdadeira;8.67;91.33;Acerto
3110.txt;Verdadeira;Verdadeira;7.67;92.33;Acerto
3111.txt;Verdadeira;Verdadeira;30.0;70.0;Acerto
3112.txt;Verdadeira;Fake;55.33;55.33;Erro
3113.txt;Verdadeira;Verdadeira;34.0;66.0;Acerto
3114.txt;Verdadeira;Verdadeira;27.0;73.0;Acerto
3115.txt;Verdadeira;Verdadeira;16.67;83.33;Acerto
3116.txt;Verdadeira;Verdadeira;30.67;69.33;Acerto
3117.txt;Verdadeira;Verdadeira;26.33;73.67;Acerto
3118.txt;Verdadeira;Verdadeira;5.0;95.0;Acerto
3119.txt;Verdadeira;Verdadeira;14.0;86.0;Acerto
3120.txt;Verdadeira;Verdadeira;29.67;70.33;Acerto
3121.txt;Verdadeira;Verdadeira;20.0;80.0;Acerto
3122.txt;Verdadeira;Verdadeira;5.67;94.33;Acerto
3123.txt;Verdadeira;Verdadeira;12.0;88.0;Acerto
3124.txt;Verdadeira;Verdadeira;11.67;88.33;Acerto
3125.txt;Verdadeira;Verdadeira;29.33;70.67;Acerto
3126.txt;Verdadeira;Verdadeira;4.0;96.0;Acerto
3127.txt;Verdadeira;Verdadeira;4.0;96.0;Acerto
3128.txt;Verdadeira;Verdadeira;30.67;69.33;Acerto
3129.txt;Verdadeira;Verdadeira;1.0;99.0;Acerto
3130.txt;Verdadeira;Verdadeira;1.33;98.67;Acerto
3131.txt;Verdadeira;Verdadeira;18.0;82.0;Acerto
3132.txt;Verdadeira;Verdadeira;28.33;71.67;Acerto
3133.txt;Verdadeira;Verdadeira;15.67;84.33;Acerto
3134.txt;Verdadeira;Verdadeira;24.67;75.33;Acerto
3135.txt;Verdadeira;Verdadeira;4.33;95.67;Acerto
3136.txt;Verdadeira;Verdadeira;19.0;81.0;Acerto
3137.txt;Verdadeira;Verdadeira;6.33;93.67;Acerto
3138.txt;Verdadeira;Verdadeira;5.33;94.67;Acerto
3139.txt;Verdadeira;Verdadeira;31.0;69.0;Acerto
3140.txt;Verdadeira;Verdadeira;31.0;69.0;Acerto
3141.txt;Verdadeira;Verdadeira;25.33;74.67;Acerto
3142.txt;Verdadeira;Verdadeira;28.33;71.67;Acerto
3143.txt;Verdadeira;Verdadeira;21.67;78.33;Acerto
3144.txt;Verdadeira;Verdadeira;2.67;97.33;Acerto
3145.txt;Verdadeira;Verdadeira;2.33;97.67;Acerto
3146.txt;Verdadeira;Verdadeira;23.0;77.0;Acerto
3147.txt;Verdadeira;Verdadeira;7.0;93.0;Acerto
3148.txt;Verdadeira;Verdadeira;25.33;74.67;Acerto
3149.txt;Verdadeira;Verdadeira;1.0;99.0;Acerto
3150.txt;Verdadeira;Verdadeira;5.33;94.67;Acerto
3151.txt;Verdadeira;Verdadeira;4.0;96.0;Acerto
3152.txt;Verdadeira;Verdadeira;13.0;87.0;Acerto
3153.txt;Verdadeira;Verdadeira;20.67;79.33;Acerto
3154.txt;Verdadeira;Verdadeira;30.33;69.67;Acerto
3155.txt;Verdadeira;Verdadeira;3.67;96.33;Acerto
3156.txt;Verdadeira;Verdadeira;2.33;97.67;Acerto
3157.txt;Verdadeira;Verdadeira;15.33;84.67;Acerto
3158.txt;Verdadeira;Verdadeira;15.33;84.67;Acerto
3159.txt;Verdadeira;Verdadeira;27.0;73.0;Acerto
3160.txt;Verdadeira;Verdadeira;2.67;97.33;Acerto
3161.txt;Verdadeira;Verdadeira;7.0;93.0;Acerto
3162.txt;Verdadeira;Verdadeira;43.67;56.33;Acerto
3163.txt;Verdadeira;Verdadeira;8.33;91.67;Acerto
3164.txt;Verdadeira;Verdadeira;13.67;86.33;Acerto
3165.txt;Verdadeira;Verdadeira;16.67;83.33;Acerto
3166.txt;Verdadeira;Verdadeira;15.67;84.33;Acerto
3167.txt;Verdadeira;Verdadeira;6.0;94.0;Acerto
3168.txt;Verdadeira;Verdadeira;10.67;89.33;Acerto
3169.txt;Verdadeira;Verdadeira;2.0;98.0;Acerto
3170.txt;Verdadeira;Verdadeira;14.33;85.67;Acerto
3171.txt;Verdadeira;Verdadeira;1.0;99.0;Acerto
3172.txt;Verdadeira;Verdadeira;6.67;93.33;Acerto
3173.txt;Verdadeira;Verdadeira;2.33;97.67;Acerto
3174.txt;Verdadeira;Verdadeira;18.67;81.33;Acerto
3175.txt;Verdadeira;Verdadeira;3.67;96.33;Acerto
3176.txt;Verdadeira;Verdadeira;2.0;98.0;Acerto
3177.txt;Verdadeira;Verdadeira;15.0;85.0;Acerto
3178.txt;Verdadeira;Verdadeira;3.33;96.67;Acerto
3179.txt;Verdadeira;Verdadeira;17.67;82.33;Acerto
3180.txt;Verdadeira;Verdadeira;21.33;78.67;Acerto
3181.txt;Verdadeira;Verdadeira;4.0;96.0;Acerto
3182.txt;Verdadeira;Verdadeira;9.33;90.67;Acerto
3183.txt;Verdadeira;Fake;55.0;55.0;Erro
3184.txt;Verdadeira;Verdadeira;15.67;84.33;Acerto
3185.txt;Verdadeira;Verdadeira;23.67;76.33;Acerto
3186.txt;Verdadeira;Verdadeira;17.0;83.0;Acerto
3187.txt;Verdadeira;Verdadeira;3.0;97.0;Acerto
3188.txt;Verdadeira;Verdadeira;48.0;52.0;Acerto
3189.txt;Verdadeira;Verdadeira;29.33;70.67;Acerto
3190.txt;Verdadeira;Verdadeira;10.33;89.67;Acerto
3191.txt;Verdadeira;Verdadeira;4.0;96.0;Acerto
3192.txt;Verdadeira;Verdadeira;6.0;94.0;Acerto
3193.txt;Verdadeira;Verdadeira;44.67;55.33;Acerto
3194.txt;Verdadeira;Verdadeira;3.33;96.67;Acerto
3195.txt;Verdadeira;Verdadeira;22.67;77.33;Acerto
3196.txt;Verdadeira;Verdadeira;7.0;93.0;Acerto
3197.txt;Verdadeira;Verdadeira;7.67;92.33;Acerto
3198.txt;Verdadeira;Verdadeira;10.67;89.33;Acerto
3199.txt;Verdadeira;Verdadeira;6.33;93.67;Acerto
3200.txt;Verdadeira;Verdadeira;9.0;91.0;Acerto
3201.txt;Verdadeira;Verdadeira;0.67;99.33;Acerto
3202.txt;Verdadeira;Verdadeira;38.0;62.0;Acerto
3203.txt;Verdadeira;Verdadeira;10.0;90.0;Acerto
3204.txt;Verdadeira;Verdadeira;8.67;91.33;Acerto
3205.txt;Verdadeira;Verdadeira;7.33;92.67;Acerto
3206.txt;Verdadeira;Verdadeira;21.0;79.0;Acerto
3207.txt;Verdadeira;Fake;55.0;55.0;Erro
3208.txt;Verdadeira;Verdadeira;4.67;95.33;Acerto
3209.txt;Verdadeira;Verdadeira;9.0;91.0;Acerto
3210.txt;Verdadeira;Verdadeira;5.0;95.0;Acerto
3211.txt;Verdadeira;Verdadeira;4.0;96.0;Acerto
3212.txt;Verdadeira;Verdadeira;5.67;94.33;Acerto
3213.txt;Verdadeira;Verdadeira;30.67;69.33;Acerto
3214.txt;Verdadeira;Verdadeira;4.0;96.0;Acerto
3215.txt;Verdadeira;Verdadeira;23.33;76.67;Acerto
3216.txt;Verdadeira;Verdadeira;49.0;51.0;Acerto
3217.txt;Verdadeira;Verdadeira;3.0;97.0;Acerto
3218.txt;Verdadeira;Verdadeira;6.0;94.0;Acerto
3219.txt;Verdadeira;Verdadeira;24.0;76.0;Acerto
3220.txt;Verdadeira;Verdadeira;12.0;88.0;Acerto
3221.txt;Verdadeira;Verdadeira;6.0;94.0;Acerto
3222.txt;Verdadeira;Verdadeira;7.0;93.0;Acerto
3223.txt;Verdadeira;Verdadeira;6.33;93.67;Acerto
3224.txt;Verdadeira;Verdadeira;26.0;74.0;Acerto
3225.txt;Verdadeira;Verdadeira;12.33;87.67;Acerto
3226.txt;Verdadeira;Verdadeira;9.0;91.0;Acerto
3227.txt;Verdadeira;Verdadeira;14.33;85.67;Acerto
3228.txt;Verdadeira;Verdadeira;49.0;51.0;Acerto
3229.txt;Verdadeira;Verdadeira;4.67;95.33;Acerto
3230.txt;Verdadeira;Verdadeira;9.33;90.67;Acerto
3231.txt;Verdadeira;Verdadeira;3.0;97.0;Acerto
3232.txt;Verdadeira;Verdadeira;13.67;86.33;Acerto
3233.txt;Verdadeira;Verdadeira;3.67;96.33;Acerto
3234.txt;Verdadeira;Verdadeira;3.33;96.67;Acerto
3235.txt;Verdadeira;Verdadeira;23.33;76.67;Acerto
3236.txt;Verdadeira;Verdadeira;10.33;89.67;Acerto
3237.txt;Verdadeira;Verdadeira;19.33;80.67;Acerto
3238.txt;Verdadeira;Verdadeira;12.67;87.33;Acerto
3239.txt;Verdadeira;Verdadeira;15.0;85.0;Acerto
3240.txt;Verdadeira;Verdadeira;37.0;63.0;Acerto
3241.txt;Verdadeira;Verdadeira;25.0;75.0;Acerto
3242.txt;Verdadeira;Verdadeira;6.67;93.33;Acerto
3243.txt;Verdadeira;Verdadeira;5.67;94.33;Acerto
3244.txt;Verdadeira;Verdadeira;38.67;61.33;Acerto
3245.txt;Verdadeira;Verdadeira;4.33;95.67;Acerto
3246.txt;Verdadeira;Verdadeira;35.33;64.67;Acerto
3247.txt;Verdadeira;Verdadeira;24.0;76.0;Acerto
3248.txt;Verdadeira;Verdadeira;8.67;91.33;Acerto
3249.txt;Verdadeira;Verdadeira;4.67;95.33;Acerto
3250.txt;Verdadeira;Verdadeira;7.67;92.33;Acerto
3251.txt;Verdadeira;Verdadeira;1.67;98.33;Acerto
3252.txt;Verdadeira;Verdadeira;5.33;94.67;Acerto
3253.txt;Verdadeira;Verdadeira;6.33;93.67;Acerto
3254.txt;Verdadeira;Verdadeira;2.0;98.0;Acerto
3255.txt;Verdadeira;Verdadeira;4.67;95.33;Acerto
3256.txt;Verdadeira;Verdadeira;4.67;95.33;Acerto
3257.txt;Verdadeira;Verdadeira;6.67;93.33;Acerto
3258.txt;Verdadeira;Verdadeira;10.0;90.0;Acerto
3259.txt;Verdadeira;Verdadeira;16.67;83.33;Acerto
3260.txt;Verdadeira;Verdadeira;13.0;87.0;Acerto
3261.txt;Verdadeira;Verdadeira;12.0;88.0;Acerto
3262.txt;Verdadeira;Verdadeira;28.67;71.33;Acerto
3263.txt;Verdadeira;Verdadeira;16.67;83.33;Acerto
3264.txt;Verdadeira;Verdadeira;9.67;90.33;Acerto
3265.txt;Verdadeira;Verdadeira;11.67;88.33;Acerto
3266.txt;Verdadeira;Verdadeira;11.33;88.67;Acerto
3267.txt;Verdadeira;Verdadeira;10.0;90.0;Acerto
3268.txt;Verdadeira;Verdadeira;8.0;92.0;Acerto
3269.txt;Verdadeira;Verdadeira;15.67;84.33;Acerto
3270.txt;Verdadeira;Verdadeira;19.0;81.0;Acerto
3271.txt;Verdadeira;Verdadeira;13.33;86.67;Acerto
3272.txt;Verdadeira;Verdadeira;9.67;90.33;Acerto
3273.txt;Verdadeira;Verdadeira;12.33;87.67;Acerto
3274.txt;Verdadeira;Verdadeira;11.67;88.33;Acerto
3275.txt;Verdadeira;Verdadeira;12.33;87.67;Acerto
3276.txt;Verdadeira;Verdadeira;8.0;92.0;Acerto
3277.txt;Verdadeira;Verdadeira;6.0;94.0;Acerto
3278.txt;Verdadeira;Verdadeira;18.0;82.0;Acerto
3279.txt;Verdadeira;Verdadeira;34.33;65.67;Acerto
3280.txt;Verdadeira;Verdadeira;5.67;94.33;Acerto
3281.txt;Verdadeira;Verdadeira;14.0;86.0;Acerto
3282.txt;Verdadeira;Verdadeira;3.0;97.0;Acerto
3283.txt;Verdadeira;Verdadeira;7.33;92.67;Acerto
3284.txt;Verdadeira;Verdadeira;8.67;91.33;Acerto
3285.txt;Verdadeira;Verdadeira;13.33;86.67;Acerto
3286.txt;Verdadeira;Verdadeira;16.0;84.0;Acerto
3287.txt;Verdadeira;Verdadeira;2.33;97.67;Acerto
3288.txt;Verdadeira;Verdadeira;6.0;94.0;Acerto
3289.txt;Verdadeira;Verdadeira;17.67;82.33;Acerto
3290.txt;Verdadeira;Verdadeira;5.33;94.67;Acerto
3291.txt;Verdadeira;Verdadeira;12.0;88.0;Acerto
3292.txt;Verdadeira;Verdadeira;12.67;87.33;Acerto
3293.txt;Verdadeira;Verdadeira;5.67;94.33;Acerto
3294.txt;Verdadeira;Verdadeira;7.0;93.0;Acerto
3295.txt;Verdadeira;Verdadeira;9.0;91.0;Acerto
3296.txt;Verdadeira;Verdadeira;9.67;90.33;Acerto
3297.txt;Verdadeira;Verdadeira;34.33;65.67;Acerto
3298.txt;Verdadeira;Verdadeira;9.33;90.67;Acerto
3299.txt;Verdadeira;Verdadeira;6.33;93.67;Acerto
3300.txt;Verdadeira;Fake;58.0;58.0;Erro
3301.txt;Verdadeira;Verdadeira;9.67;90.33;Acerto
3302.txt;Verdadeira;Verdadeira;12.67;87.33;Acerto
3303.txt;Verdadeira;Verdadeira;10.0;90.0;Acerto
3304.txt;Verdadeira;Verdadeira;8.0;92.0;Acerto
3305.txt;Verdadeira;Verdadeira;2.67;97.33;Acerto
3306.txt;Verdadeira;Verdadeira;7.67;92.33;Acerto
3307.txt;Verdadeira;Verdadeira;4.67;95.33;Acerto
3308.txt;Verdadeira;Verdadeira;5.67;94.33;Acerto
3309.txt;Verdadeira;Verdadeira;9.0;91.0;Acerto
3310.txt;Verdadeira;Verdadeira;41.33;58.67;Acerto
3311.txt;Verdadeira;Verdadeira;6.0;94.0;Acerto
3312.txt;Verdadeira;Verdadeira;20.0;80.0;Acerto
3313.txt;Verdadeira;Verdadeira;3.33;96.67;Acerto
3314.txt;Verdadeira;Verdadeira;39.0;61.0;Acerto
3315.txt;Verdadeira;Verdadeira;13.0;87.0;Acerto
3316.txt;Verdadeira;Verdadeira;17.33;82.67;Acerto
3317.txt;Verdadeira;Verdadeira;5.33;94.67;Acerto
3318.txt;Verdadeira;Verdadeira;12.0;88.0;Acerto
3319.txt;Verdadeira;Verdadeira;23.0;77.0;Acerto
3320.txt;Verdadeira;Verdadeira;1.33;98.67;Acerto
3321.txt;Verdadeira;Verdadeira;2.0;98.0;Acerto
3322.txt;Verdadeira;Verdadeira;17.0;83.0;Acerto
3323.txt;Verdadeira;Verdadeira;6.67;93.33;Acerto
3324.txt;Verdadeira;Verdadeira;12.33;87.67;Acerto
3325.txt;Verdadeira;Verdadeira;2.67;97.33;Acerto
3326.txt;Verdadeira;Verdadeira;30.0;70.0;Acerto
3327.txt;Verdadeira;Verdadeira;5.33;94.67;Acerto
3328.txt;Verdadeira;Verdadeira;32.0;68.0;Acerto
3329.txt;Verdadeira;Verdadeira;3.0;97.0;Acerto
3330.txt;Verdadeira;Verdadeira;6.67;93.33;Acerto
3331.txt;Verdadeira;Verdadeira;11.0;89.0;Acerto
3332.txt;Verdadeira;Verdadeira;6.33;93.67;Acerto
3333.txt;Verdadeira;Verdadeira;30.67;69.33;Acerto
3334.txt;Verdadeira;Verdadeira;16.0;84.0;Acerto
3335.txt;Verdadeira;Verdadeira;4.67;95.33;Acerto
3336.txt;Verdadeira;Verdadeira;30.0;70.0;Acerto
3337.txt;Verdadeira;Verdadeira;12.67;87.33;Acerto
3338.txt;Verdadeira;Verdadeira;5.33;94.67;Acerto
3339.txt;Verdadeira;Verdadeira;40.0;60.0;Acerto
3340.txt;Verdadeira;Verdadeira;9.0;91.0;Acerto
3341.txt;Verdadeira;Verdadeira;1.67;98.33;Acerto
3342.txt;Verdadeira;Verdadeira;9.33;90.67;Acerto
3343.txt;Verdadeira;Verdadeira;2.67;97.33;Acerto
3344.txt;Verdadeira;Verdadeira;9.0;91.0;Acerto
3345.txt;Verdadeira;Verdadeira;7.33;92.67;Acerto
3346.txt;Verdadeira;Verdadeira;11.67;88.33;Acerto
3347.txt;Verdadeira;Verdadeira;2.33;97.67;Acerto
3348.txt;Verdadeira;Verdadeira;8.67;91.33;Acerto
3349.txt;Verdadeira;Verdadeira;3.0;97.0;Acerto
3350.txt;Verdadeira;Verdadeira;2.0;98.0;Acerto
3351.txt;Verdadeira;Verdadeira;26.0;74.0;Acerto
3352.txt;Verdadeira;Verdadeira;3.0;97.0;Acerto
3353.txt;Verdadeira;Verdadeira;6.33;93.67;Acerto
3354.txt;Verdadeira;Verdadeira;5.67;94.33;Acerto
3355.txt;Verdadeira;Verdadeira;6.67;93.33;Acerto
3356.txt;Verdadeira;Verdadeira;5.0;95.0;Acerto
3357.txt;Verdadeira;Verdadeira;11.0;89.0;Acerto
3358.txt;Verdadeira;Verdadeira;3.0;97.0;Acerto
3359.txt;Verdadeira;Verdadeira;14.33;85.67;Acerto
3360.txt;Verdadeira;Verdadeira;14.33;85.67;Acerto
3361.txt;Verdadeira;Verdadeira;2.0;98.0;Acerto
3362.txt;Verdadeira;Verdadeira;20.33;79.67;Acerto
3363.txt;Verdadeira;Verdadeira;7.0;93.0;Acerto
3364.txt;Verdadeira;Verdadeira;8.0;92.0;Acerto
3365.txt;Verdadeira;Verdadeira;1.67;98.33;Acerto
3366.txt;Verdadeira;Verdadeira;5.67;94.33;Acerto
3367.txt;Verdadeira;Verdadeira;2.67;97.33;Acerto
3368.txt;Verdadeira;Verdadeira;13.33;86.67;Acerto
3369.txt;Verdadeira;Verdadeira;2.0;98.0;Acerto
3370.txt;Verdadeira;Verdadeira;34.0;66.0;Acerto
3371.txt;Verdadeira;Verdadeira;23.33;76.67;Acerto
3372.txt;Verdadeira;Verdadeira;13.33;86.67;Acerto
3373.txt;Verdadeira;Verdadeira;29.33;70.67;Acerto
3374.txt;Verdadeira;Verdadeira;6.67;93.33;Acerto
3375.txt;Verdadeira;Verdadeira;7.0;93.0;Acerto
3376.txt;Verdadeira;Verdadeira;6.33;93.67;Acerto
3377.txt;Verdadeira;Verdadeira;2.33;97.67;Acerto
3378.txt;Verdadeira;Verdadeira;10.33;89.67;Acerto
3379.txt;Verdadeira;Verdadeira;6.0;94.0;Acerto
3380.txt;Verdadeira;Verdadeira;4.33;95.67;Acerto
3381.txt;Verdadeira;Verdadeira;1.33;98.67;Acerto
3382.txt;Verdadeira;Fake;77.0;77.0;Erro
3383.txt;Verdadeira;Verdadeira;9.67;90.33;Acerto
3384.txt;Verdadeira;Verdadeira;8.67;91.33;Acerto
3385.txt;Verdadeira;Verdadeira;13.67;86.33;Acerto
3386.txt;Verdadeira;Fake;75.0;75.0;Erro
3387.txt;Verdadeira;Verdadeira;24.0;76.0;Acerto
3388.txt;Verdadeira;Verdadeira;5.67;94.33;Acerto
3389.txt;Verdadeira;Verdadeira;11.67;88.33;Acerto
3390.txt;Verdadeira;Verdadeira;10.67;89.33;Acerto
3391.txt;Verdadeira;Verdadeira;8.67;91.33;Acerto
3392.txt;Verdadeira;Verdadeira;14.0;86.0;Acerto
3393.txt;Verdadeira;Verdadeira;18.67;81.33;Acerto
3394.txt;Verdadeira;Verdadeira;9.67;90.33;Acerto
3395.txt;Verdadeira;Verdadeira;5.67;94.33;Acerto
3396.txt;Verdadeira;Verdadeira;2.67;97.33;Acerto
3397.txt;Verdadeira;Verdadeira;12.0;88.0;Acerto
3398.txt;Verdadeira;Verdadeira;8.33;91.67;Acerto
3399.txt;Verdadeira;Verdadeira;5.67;94.33;Acerto
3400.txt;Verdadeira;Verdadeira;25.0;75.0;Acerto
3401.txt;Verdadeira;Verdadeira;21.0;79.0;Acerto
3402.txt;Verdadeira;Verdadeira;1.67;98.33;Acerto
3403.txt;Verdadeira;Verdadeira;42.33;57.67;Acerto
3404.txt;Verdadeira;Verdadeira;4.33;95.67;Acerto
3405.txt;Verdadeira;Verdadeira;10.0;90.0;Acerto
3406.txt;Verdadeira;Verdadeira;28.67;71.33;Acerto
3407.txt;Verdadeira;Verdadeira;8.67;91.33;Acerto
3408.txt;Verdadeira;Fake;58.0;58.0;Erro
3409.txt;Verdadeira;Verdadeira;13.0;87.0;Acerto
3410.txt;Verdadeira;Verdadeira;9.33;90.67;Acerto
3411.txt;Verdadeira;Verdadeira;24.0;76.0;Acerto
3412.txt;Verdadeira;Verdadeira;43.0;57.0;Acerto
3413.txt;Verdadeira;Verdadeira;19.0;81.0;Acerto
3414.txt;Verdadeira;Verdadeira;3.67;96.33;Acerto
3415.txt;Verdadeira;Verdadeira;7.33;92.67;Acerto
3416.txt;Verdadeira;Verdadeira;19.0;81.0;Acerto
3417.txt;Verdadeira;Verdadeira;5.33;94.67;Acerto
3418.txt;Verdadeira;Verdadeira;13.0;87.0;Acerto
3419.txt;Verdadeira;Verdadeira;16.0;84.0;Acerto
3420.txt;Verdadeira;Verdadeira;5.0;95.0;Acerto
3421.txt;Verdadeira;Verdadeira;19.67;80.33;Acerto
3422.txt;Verdadeira;Verdadeira;2.0;98.0;Acerto
3423.txt;Verdadeira;Verdadeira;26.33;73.67;Acerto
3424.txt;Verdadeira;Verdadeira;2.33;97.67;Acerto
3425.txt;Verdadeira;Verdadeira;19.67;80.33;Acerto
3426.txt;Verdadeira;Verdadeira;3.33;96.67;Acerto
3427.txt;Verdadeira;Verdadeira;10.33;89.67;Acerto
3428.txt;Verdadeira;Verdadeira;4.0;96.0;Acerto
3429.txt;Verdadeira;Verdadeira;2.0;98.0;Acerto
3430.txt;Verdadeira;Verdadeira;11.67;88.33;Acerto
3431.txt;Verdadeira;Verdadeira;4.33;95.67;Acerto
3432.txt;Verdadeira;Verdadeira;21.67;78.33;Acerto
3433.txt;Verdadeira;Verdadeira;11.0;89.0;Acerto
3434.txt;Verdadeira;Verdadeira;2.67;97.33;Acerto
3435.txt;Verdadeira;Fake;72.33;72.33;Erro
3436.txt;Verdadeira;Verdadeira;5.33;94.67;Acerto
3437.txt;Verdadeira;Verdadeira;17.0;83.0;Acerto
3438.txt;Verdadeira;Verdadeira;8.0;92.0;Acerto
3439.txt;Verdadeira;Verdadeira;11.67;88.33;Acerto
3440.txt;Verdadeira;Verdadeira;33.67;66.33;Acerto
3441.txt;Verdadeira;Verdadeira;6.0;94.0;Acerto
3442.txt;Verdadeira;Verdadeira;1.33;98.67;Acerto
3443.txt;Verdadeira;Verdadeira;6.33;93.67;Acerto
3444.txt;Verdadeira;Verdadeira;41.0;59.0;Acerto
3445.txt;Verdadeira;Verdadeira;3.0;97.0;Acerto
3446.txt;Verdadeira;Verdadeira;5.67;94.33;Acerto
3447.txt;Verdadeira;Verdadeira;3.33;96.67;Acerto
3448.txt;Verdadeira;Verdadeira;15.67;84.33;Acerto
3449.txt;Verdadeira;Verdadeira;12.33;87.67;Acerto
3450.txt;Verdadeira;Fake;53.33;53.33;Erro
3451.txt;Verdadeira;Verdadeira;49.33;50.67;Acerto
3452.txt;Verdadeira;Verdadeira;18.67;81.33;Acerto
3453.txt;Verdadeira;Verdadeira;20.33;79.67;Acerto
3454.txt;Verdadeira;Verdadeira;28.67;71.33;Acerto
3455.txt;Verdadeira;Verdadeira;23.33;76.67;Acerto
3456.txt;Verdadeira;Verdadeira;12.67;87.33;Acerto
3457.txt;Verdadeira;Verdadeira;8.67;91.33;Acerto
3458.txt;Verdadeira;Verdadeira;25.0;75.0;Acerto
3459.txt;Verdadeira;Fake;61.33;61.33;Erro
3460.txt;Verdadeira;Verdadeira;14.67;85.33;Acerto
3461.txt;Verdadeira;Verdadeira;9.0;91.0;Acerto
3462.txt;Verdadeira;Verdadeira;30.33;69.67;Acerto
